VN30,ACB,FPT,HDB,HPG,MBB,MSN,MWG,POW,SHB,STB,TCB,TPB,VHM,VIB,VIC,VNM,VPB,VRE
"1,189.56",22.092,83.25104,21.2,25.72753,21.62264,67.7,46.15,11.55,12.15,30.25,16.947255,18.14645,43,20.49232,43.3,67.42576,18.8001,23.9
"1,185.23",21.798,83.16468,20.95,25.27298,21.57372,67.8,46.05,11.55,12.15,30.3,16.947255,18.0978,43.05,20.49232,43.3,67.1296,18.70515,23.85
"1,173.91",21.504,82.56016,20.8,25.136615,21.23128,66.4,45.85,11.4,12.05,29.8,16.68056,17.95185,43.2,20.20173696,43.35,66.53728,18.51525,23.55
"1,166.61",21.336,82.64652,20.85,25.136615,21.0356,66.3,44.9,11.4,12,29.7,16.510845,17.85455,41.9,20.20173696,43.2,66.24112,18.32535,23.3
"1,170.19",21.336,82.64652,21,25.27298,21.0356,67.1,44.3,11.5,12.2,29.9,16.559335,18.0978,42.65,20.2961376,43.15,66.53728,18.467775,23.1
"1,161.30",21.252,82.38744,21,24.63661,20.98668,65.6,42.9,11.4,12.15,29.8,16.63207,17.8059,41.6,20.01293568,43.05,66.1424,18.372825,22.95
"1,163.66",21.672,81.78292,20.9,24.682065,20.88884,64.8,41.9,11.45,12.3,29.9,16.801785,18.04915,41.3,19.87133472,43,66.33984,18.657675,23.1
"1,163.56",21.21,82.042,20.8,25.00025,20.20396,66.1,42.45,11.65,12.1,29.5,16.559335,18.0005,42,19.96573536,43.65,67.03088,18.657675,23.45
"1,162.68",21.21,81.78292,20.7,24.863885,20.44856,66.2,42.25,11.4,12,29.45,16.68056,18.0005,42.7,19.87133472,43.6,66.636,18.6102,23.3
"1,160.21",21,83.42376,20.55,25.18207,20.39964,66.1,42.7,11.45,11.7,29.2,16.72905,17.27075,43,19.77693408,43.9,67.22832,18.182925,23.35
"1,163.52",21.294,84.02828,20.55,25.318435,20.25288,66.6,43.2,11.4,11.7,29.2,16.53509,17.46535,43.35,19.72973376,44.35,67.32704,18.277875,23.7
"1,161.14",21.378,84.11464,20.5,25.27298,20.0572,67.9,43.85,11.3,11.55,29.3,16.09868,17.514,43.1,19.54093248,44.1,67.91936,18.2304,23.35
"1,156.37",21.252,83.94192,20.4,25.227525,19.66584,68.1,43.2,11.45,11.45,28.6,16.05019,17.4167,43.45,19.25773056,44.15,68.1168,18.372825,23.4
"1,144.85",21,83.16468,20,25.27298,18.73636,68.9,43.2,11.4,11.25,28.5,15.80774,16.97885,43.4,18.97452864,44.15,68.1168,18.13545,23.25
"1,131.64",20.538,82.81924,19.9,24.954795,18.44284,68.4,42.45,11.25,10.95,27.75,15.56529,16.8329,43,18.69132672,44,67.42576,17.898075,23.1
"1,131.46",20.076,82.99196,20.3,25.409345,18.24716,67,42.8,11.25,10.8,27.95,15.41982,16.9302,43.2,18.50252544,44.6,66.73472,18.2304,23.3
"1,128.51",19.95,83.42376,19.35,25.409345,18.14932,67,43.05,11.25,10.8,27.6,15.27435,16.8329,43.7,18.54972576,44.45,67.6232,17.8506,23.5
"1,115.94",19.572,83.68284,19.3,25.227525,18.00256,67,42.85,11.15,10.75,27.4,14.959165,16.88155,41.9,18.12492288,43.6,66.636,17.56575,23.25
"1,115.52",19.53,83.94192,19.2,25.27298,18.05148,66.2,42.7,11.25,10.7,27.5,14.93492,16.541,41.9,18.07772256,43.55,66.63284096,17.56575,23.3
"1,111.86",19.614,82.9056,19.15,24.954795,18.00256,66.4,42.65,11.3,10.75,27.5,15.007655,16.58965,41.2,17.98332192,43.4,66.53485149,17.56575,23.4
"1,097.45",19.488,81.69656,18.95,24.591155,17.90472,63,42.35,11.25,10.7,27.2,14.83794,16.4437,40.3,17.70012,43.15,66.24088307,17.233425,22.95
"1,097.43",19.53,82.12836,18.75,24.72752,17.75796,63.7,42.65,11.3,10.65,26.6,14.862185,16.4437,40.2,17.70012,43.2,66.43686202,17.2809,22.95
"1,097.01",19.488,81.78292,18.8,24.72752,17.75796,63.9,42.4,11.3,10.7,26.95,14.716715,16.4437,39.95,17.65291968,43.25,66.73083043,17.328375,23
"1,091.87",19.362,81.69656,18.95,24.72752,17.75796,62.2,40.65,11.2,10.7,26.6,14.83794,16.541,39.5,17.60571936,43.2,65.65294624,17.37585,22.7
"1,084.67",19.152,81.1784,18.4,24.18206,17.6112,62.9,39.6,11.1,10.7,26.3,14.571245,16.4437,39.9,17.51131872,43.2,65.65294624,17.4708,22.6
"1,097.40",19.11,83.07832,19,24.36388,17.66012,63,40.75,11.2,10.8,27.1,14.83794,16.49235,39.9,17.74732032,43.7,66.73083043,17.75565,22.55
"1,104.49",18.9,83.07832,18.9,24.591155,17.66012,65,41.6,11.3,10.8,27.1,14.813695,16.4437,40.3,17.84172096,43.8,67.02479885,18.0405,22.85
"1,106.83",18.732,82.21472,18.85,24.863885,17.66012,65.8,41.7,11.4,10.9,27.45,14.78945,16.541,40.75,17.98332192,43.9,66.8288199,18.2304,23
"1,121.21",18.9,83.59648,18.8,25.409345,17.8558,66.2,42.5,11.6,11.1,28,15.056145,16.88155,41.05,18.12492288,44.25,68.00469357,18.467775,23.65
"1,117.34",18.816,82.042,18.75,25.00025,17.75796,67.5,42.5,11.6,11.15,27.85,14.959165,16.88155,41,18.12492288,44.05,68.5926304,18.4203,23.65
"1,114.89",18.816,81.35112,18.75,25.18207,17.80688,66.2,42.6,11.65,11,28.2,15.007655,16.97885,39.65,18.26652384,42.95,67.61273568,18.6102,23.35
"1,111.35",18.816,81.43748,18.7,25.09116,17.8558,63.5,40.85,11.5,11.05,28.55,14.959165,17.07615,39.7,18.21932352,42.8,67.02479885,18.657675,22.8
"1,109.27",18.732,82.042,18.6,25.09116,17.70904,62.1,40.95,11.55,11,28.1,14.74096,16.97885,40.45,18.12492288,42.8,67.12278832,18.4203,22.9
"1,100.42",18.606,81.86928,18.45,24.772975,17.66012,61.4,40,11.45,10.95,27.8,14.571245,16.58965,40.5,18.07772256,42.8,66.73083043,18.182925,22.85
